modelo	temperatura	std_ip_repeticao
Qwen/Qwen3-32B	0.5	0.33359895879052515
Qwen/Qwen3-14B	1.0	0.30739884127798467
Qwen/Qwen3-32B	1.0	0.2946879474877754
microsoft/phi-4	1.0	0.2806470293839591
sabia-3.1	0.5	0.2772174052903576
sabia-3.1	1.0	0.23237168209456116
openai/gpt-oss-120b	1.0	0.22374935868110113
deepseek-ai/DeepSeek-V3.2	1.0	0.1892632511379125
microsoft/phi-4	0.5	0.16592095077102803
nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL	1.0	0.15871775745206415
meta-llama/Meta-Llama-3.1-70B-Instruct	1.0	0.15435861849076243
openai/gpt-oss-20b	1.0	0.13481847205840633
openai/gpt-oss-20b	0.5	0.11709711650539302
nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL	0.5	0.1134080885908193
Qwen/Qwen3-235B-A22B-Instruct-2507	0.5	0.11151782139997121
meta-llama/Meta-Llama-3.1-8B-Instruct	0.5	0.10910894511799621
mistralai/Mistral-Small-3.2-24B-Instruct-2506	1.0	0.108620759469611
google/gemini-2.5-flash	0.5	0.10714285714285714
openai/gpt-oss-120b	0.5	0.1030982623552904
gpt-4.1-nano	0.5	0.0994243636219647
grok-4-1-fast-reasoning	1.0	0.09278843611976127
grok-4-1-fast-reasoning	0.5	0.08438956475451086
google/gemini-2.5-flash	1.0	0.08438956475451083
Qwen/Qwen3-14B	0.5	0.06271222471936154
meta-llama/Meta-Llama-3.1-70B-Instruct	0.5	0.057967468831412364
mistralai/Mixtral-8x7B-Instruct-v0.1	1.0	0.05455447255899812
google/gemma-3-12b-it	0.5	0.051549131177645244
deepseek-ai/DeepSeek-V3.2	0.5	0.0515491311776452
mistralai/Mistral-Small-3.2-24B-Instruct-2506	0.5	0.051549131177645105
google/gemma-3-4b-it	1.0	0.041239304942116126
meta-llama/Meta-Llama-3.1-8B-Instruct	1.0	0.041239304942116105
google/gemma-3-12b-it	1.0	0.030929478706587032
google/gemma-3-27b-it	1.0	0.027277236279499194
gpt-4.1-nano	1.0	0.027277236279499115
google/gemma-3-4b-it	0.5	0.027277236279499052
meta-llama/Llama-4-Scout-17B-16E-Instruct	1.0	0.02727723627949895
mistralai/Mixtral-8x7B-Instruct-v0.1	0.5	0.017857142857143016
Qwen/Qwen3-235B-A22B-Instruct-2507	1.0	0.017857142857142794
google/gemma-3-27b-it	0.5	0.010309826235529219
meta-llama/Llama-4-Scout-17B-16E-Instruct	0.5	0.010309826235528995
Qwen/Qwen3-14B	0.0	
Qwen/Qwen3-235B-A22B-Instruct-2507	0.0	
Qwen/Qwen3-32B	0.0	
deepseek-ai/DeepSeek-V3.2	0.0	
google/gemini-2.5-flash	0.0	
google/gemma-3-12b-it	0.0	
google/gemma-3-27b-it	0.0	
google/gemma-3-4b-it	0.0	
gpt-4.1-nano	0.0	
gpt-5-nano	0.0	
grok-4-1-fast-reasoning	0.0	
meta-llama/Llama-4-Scout-17B-16E-Instruct	0.0	
meta-llama/Meta-Llama-3.1-70B-Instruct	0.0	
meta-llama/Meta-Llama-3.1-8B-Instruct	0.0	
microsoft/phi-4	0.0	
mistralai/Mistral-Small-3.2-24B-Instruct-2506	0.0	
mistralai/Mixtral-8x7B-Instruct-v0.1	0.0	
nvidia/NVIDIA-Nemotron-Nano-12B-v2-VL	0.0	
openai/gpt-oss-120b	0.0	
openai/gpt-oss-20b	0.0	
sabia-3.1	0.0	
